Fecha	PROYECTO	Split/Skill	Intervalo inicial	Llamadas Recibidas	Llamadas Atendidas	% llamadas resp.	Vel. prom. de resp.	Tiempo ACD	ACWINTIME	Tiempo de reten.	Tiempo prom. de ACD	LLamadas Umbral	ACD Calls 0 - 5 sec.	ACD Calls 6 - 10 sec.	ACD Calls 11 - 20 sec.	ACD Calls 21 - 30 sec.	ACD Calls 31 -60 sec.	ACD Calls > 60 sec.	% Nivel de servicio sin ABN < 20	% Fuera de nivel de servicio sin ABN < 20	% Dentro del nivel de servicio	% Fuera del Nivel de Servicio	Llamadas aban.	% llamadas aban.	Tiempo prom. de aban.	Aban Calls 0 - 5 sec.	Aban Calls 6 - 10 sec.	Aban Calls 11 - 20 sec.	Aban Calls 21 - 30 sec.	Aban Calls 31 -60 sec.	Aban Calls > 60 sec.	Llamadas de salida de la extn	Tiempo de salida de la extn	Trans. de salida	Llamadas retenidas	HOLDABNCALLS	Max Conectados	Max Conectados TOP	Máx Espera	Demora máxima	Atendidas del vector	Tiempo con personal	"Break"	Tiempo dispon.
		0	0	3	3	100	0	2020	0	0	673.333312988	3	3	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	75600	6812	9338
12/12/2019	B2B Fibra	3314	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	896
12/12/2019	B2B MDR Cierre	3310	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	896
12/12/2019	B2B MDR Edatel	3312	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	896
12/12/2019	B2B MDR Soporte	3311	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1800	0	896
12/12/2019	B2B N1 Bajos	3304	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	896
12/12/2019	B2B N1 Edatel Avanz	3306	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2019	B2B N1 Edatel Basico	3307	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	900	0	626
12/12/2019	B2B N1 Medios Conect	3301	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	706	896
12/12/2019	B2B N1 Medios Datace	3303	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
12/12/2019	B2B N1 Medios Voz	3302	12:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	896
12/12/2019	B2B N1 VIP	3305	12:00 AM	1	1	100	0	567	0	0	567	1	1	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	3600	706	896
12/12/2019	B2B Fibra	3314	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1251
12/12/2019	B2B MDR Cierre	3310	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1251
12/12/2019	B2B MDR Edatel	3312	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1251
12/12/2019	B2B MDR Soporte	3311	12:15 AM	1	1	100	0	576	0	0	576	1	1	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1251
12/12/2019	B2B N1 Bajos	3304	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1251
12/12/2019	B2B N1 Edatel Avanz	3306	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2019	B2B N1 Edatel Basico	3307	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	900	0	598
12/12/2019	B2B N1 Medios Conect	3301	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	900	1251
12/12/2019	B2B N1 Medios Datace	3303	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
12/12/2019	B2B N1 Medios Voz	3302	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1251
12/12/2019	B2B N1 VIP	3305	12:15 AM	1	1	100	0	877	0	0	877	1	1	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	3600	900	1251
12/12/2019	B2B Fibra	3314	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
12/12/2019	B2B MDR Cierre	3310	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
12/12/2019	B2B MDR Edatel	3312	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
12/12/2019	B2B MDR Soporte	3311	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
12/12/2019	B2B N1 Bajos	3304	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
12/12/2019	B2B N1 Edatel Avanz	3306	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2019	B2B N1 Edatel Basico	3307	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	900	0	900
12/12/2019	B2B N1 Medios Conect	3301	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	900	1800
12/12/2019	B2B N1 Medios Datace	3303	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
12/12/2019	B2B N1 Medios Voz	3302	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
12/12/2019	B2B N1 VIP	3305	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	3600	900	1800
12/12/2019	B2B Fibra	3314	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1800	0	1791
12/12/2019	B2B MDR Cierre	3310	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1791
12/12/2019	B2B MDR Edatel	3312	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1791
12/12/2019	B2B MDR Soporte	3311	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1791
12/12/2019	B2B N1 Bajos	3304	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1791
12/12/2019	B2B N1 Edatel Avanz	3306	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12/12/2019	B2B N1 Edatel Basico	3307	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	900	0	900
12/12/2019	B2B N1 Medios Conect	3301	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	900	1791
12/12/2019	B2B N1 Medios Datace	3303	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
12/12/2019	B2B N1 Medios Voz	3302	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1791
12/12/2019	B2B N1 VIP	3305	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	3600	900	1791
